question_id,source_article,model_name,predicted_label,verification_status,lean4_pass,human_labels,matrix_category,augmented_labels,is_augmented_label,all_models_empty_for_question,empty_model_count_for_question,case_study_bucket
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",anthropic/claude-sonnet-4.5,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",deepseek/deepseek-chat-v3.1,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",deepseek/deepseek-r1,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",gemini-flash-non,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",gemini-pro-non,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",gemini-pro-thinking,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",openai/gpt-4o-2024-11-20,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",openai/gpt-5,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",openai/gpt-oss-120b,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",qwen_qwen3-235b-a22b-2507,ad hominem,lean_pass,True,ad hominem,Compilable-Correct,,False,False,1,1_compilable_correct
